Leto, Povprecna temperature (°C), padavine (mm), st. dni s snezno odejo
1980, 8.0, 1133.0, 76
1981, 9.0, 867.0, 71
1982, 10.0, 1053.0, 34
1983, 10.0, 851.0, 34
1984, 9.0, 851.0, 58
1985, 9.0, 1017.0, 74
1986, 9.0, 863.0, 73
1987, 9.0, 991.0, 46
1988, 10.0, 859.0, 20
1989, 10.0, 959.0, 1
1990, 10.0, 1050.0, 26
1991, 10.0, 1050.0, 26
1992, 11.0, 884.0, 21
1993, 10.0, 762.0, 46
1994, 11.0, 966.0, 24
1995, 10.0, 943.0, 35
1996, 9.0, 973.0, 70
1997, 10.0, 877.0, 47
1998, 10.0, 1012.0, 44
1999, 10.0, 1038.0, 71
2000, 11.0, 795.0, 37
2001, 11.0, 827.0, 26
2002, 11.0, 918.0, 26
2003, 11.0, 689.0, 60
2004, 10.0, 993.0, 33
2005, 10.0, 959.0, 68
2006, 10.0, 903.0, 66
2007, 11.0, 982.0, 28
2008, 11.0, 944.0, 19
2009, 11.0, 1078.0, 44
2010, 10.0, 986.0, 72
2011, 11.0, 730.0, 11
2012, 11.0, 929.0, 33
2013, 11.0, 924.0, 51
2014, 12.0, 1238.0, 21
2015, 11.0, 846.0, 21
2016, 11.0, 1006.0, 9
2017, 11.0, 961.0, 34
2018, 12.0, 928.0, 48
2019, 12.0, 1024.0, 8
2020, 11.0, 916.0, 11
2021, 11.0, 820.0, 23
2022, 12.0, 742.0, 2
